VIN,Make,Model,BodyClass,Trim
km8sc83dx1u066798,hyundai,santa fe,suv,
2fahp71w04x158670,ford,crown victoria,sedan,
1ftsw31f4yed35160,ford,f-350,pickup,
1ftex14n3skc20351,ford,f-150,pickup,
1gyee637080140963,cadillac,srx,suv,
1j4fy49s9xp452572,jeep,wrangler,suv,sahara/tj
1fmfk17557la60307,ford,expedition max,suv,
4a32b2ff1ce015394,mitsubishi,galant,sedan,
salae25436a389421,land rover,lr3,suv,se / v8 se
1d4gp24393b143244,dodge,caravan,van,
3gnda23p16s669423,chevrolet,hhr,suv,1/2 ton
1ftef15n9sna17237,ford,f-150,pickup,
2lmhj5nk2ebl55992,lincoln,mkt,suv,
2hjyk16226h573364,honda,ridgeline,pickup,
3gnal3ek8fs502741,chevrolet,captiva sport,suv,
2c8gp443x3r114778,chrysler,town and country,minivan,lx
1g1yy22g2x5132913,chevrolet,corvette,coupe,
1g1yy26u075111882,chevrolet,corvette,coupe,
wbakb8c5xcdx20845,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1fmfk17597la30341,ford,expedition max,suv,
wp0ab29968s731639,porsche,911,coupe,"s (2wd), 4s (4wd)"
2c4gm68484r546988,chrysler,pacifica,suv,touring
wdbrf52h57f845096,mercedes-benz,c-class,sedan,
2d8hn44hx8r813506,dodge,caravan,minivan,se
jf1sg63605h724907,subaru,forester,suv,2.5x
1fmzu35p1wzb39864,ford,explorer,suv,
wbahl83527dt11123,bmw,750i,sedan,
3gnal3ek9fs510587,chevrolet,captiva sport,suv,
1g1yy25u675138957,chevrolet,corvette,coupe,
4a32b2ff0be011271,mitsubishi,galant,sedan,
1b7gg22y5xs169857,dodge,dakota,pickup,sport/slt
1c4njdab1ed815625,jeep,compass,suv,sport
salsf25406a970084,land rover,range rover sport,suv,hse
2d8hn44hx8r677233,dodge,caravan,minivan,se
knahh8a85c7410672,kia,rondo,wagon,
1ftyr14xxxpa08291,ford,ranger,pickup,
1gbfg15t441141253,chevrolet,express,van,
1fmpu18lxwla50477,ford,expedition,suv,
1fmzu63k45ua21067,ford,explorer,suv,
jm3er293270138290,mazda,cx-7,suv,
1b3el46t05n611440,dodge,stratus,sedan,sxt
jm3er293870125897,mazda,cx-7,suv,
1gyee637x40191915,cadillac,srx,suv,
jm3er293270106309,mazda,cx-7,suv,
2b4gp44r8vr184009,dodge,caravan,minivan,se/sport
jtjht00w243536187,lexus,lx,suv,470
1gkec13t3yj109975,gmc,yukon,suv,1500 (1/2 ton)
1c4njcaa3ed608414,jeep,compass,suv,sport
wp0ab299x8s732535,porsche,911,coupe,"s (2wd), 4s (4wd)"
salae25486a382089,land rover,lr3,suv,se / v8 se
4a32b2ffxce017080,mitsubishi,galant,sedan,
1d3hv18p19s815733,dodge,ram,pickup,1500
salme15426a212141,land rover,range rover,suv,hse spec 1
2hkyf18654h508330,honda,pilot,suv,ex-l( with res)
1ftnw21f1yea94150,ford,f-250,pickup,
3gnal4ek9fs503144,chevrolet,captiva sport,suv,
jf1sg65687h722922,subaru,forester,suv,2.5xs
1ftyr10v7ypa80619,ford,ranger,pickup,
1g1yy26e375102974,chevrolet,corvette,coupe,
jf1sg63636h721310,subaru,forester,suv,2.5x
wbahl83537dt08652,bmw,750i,sedan,
1ftfw1ev4aka83862,ford,f-150,pickup,
1fmyu92123kc27616,ford,escape,suv,
2c4rvadg0er135398,volkswagen,routan,minivan,sel
1fmfk18587la33455,ford,expedition max,suv,
salmf1e41ca370527,land rover,range rover,suv,hse lux
salme15426a198421,land rover,range rover,suv,hse spec 1
2c4gm48l55r556391,chrysler,pacifica,suv,base
3gnda23d07s554657,chevrolet,hhr,suv,lt
jtjbt20x840039513,lexus,gx,suv,470
1fthx26f0vec28239,ford,f-250,pickup,
wbakc8c55cc437496,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
jhmra1877sc003764,honda,odyssey,minivan,ex
1g6dc67a350159762,cadillac,sts,sedan,
jf1sg696x6h735860,subaru,forester,suv,2.5xt
1g1yy24u655115399,chevrolet,corvette,coupe,
2hkyf18586h543096,honda,pilot,suv,ex-l
1c4gp54l4xb916724,chrysler,town and country,minivan,lx/sx
2g1wc583289230923,chevrolet,impala,sedan,
5fnyf18525b066467,honda,pilot,suv,
1g1yy26u075136118,chevrolet,corvette,coupe,
5tfsv54157x002645,toyota,tundra,pickup,sr5
jtjht00w964005405,lexus,lx,suv,470
3gnda33p77s576672,chevrolet,hhr,suv,lt
1c4njdabxed820015,jeep,compass,suv,sport
2c4rdgdg9er385115,dodge,grand caravan,minivan,crew
1gmdv23167d166041,pontiac,montana,minivan,
2b4fp2535tr762929,dodge,caravan,minivan,base
wbakc8c59cc436741,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
jhmca5645kc055884,honda,accord,sedan,lxi
jtjbt20x940032408,lexus,gx,suv,470
5fnyf18465b015464,honda,pilot,suv,
kmhcn45c58u237382,hyundai,accent,sedan,
wdbrf52h77a929403,mercedes-benz,c-class,sedan,
1ftlr1fe0bpa86352,ford,ranger,pickup,
1gtek19t8ye369111,gmc,sierra,pickup,1500 (1/2 ton)
1gyee63ax80100353,cadillac,srx,suv,
2hkyf18636h542253,honda,pilot,suv,ex-l( with res)
5fnyf18454b007256,honda,pilot,suv,ex
4a32b2ff9ce024697,mitsubishi,galant,sedan,
1g1yy23p2n5109126,chevrolet,corvette,coupe,
1g1yy22p5s5116620,chevrolet,corvette,coupe,
2a8gf68456r609941,chrysler,pacifica,suv,touring
jn1az34e56m353422,nissan,350z,coupe,
jn1az34d65m604700,nissan,350z,coupe,
2c8gf68435r658396,chrysler,pacifica,suv,touring
wdapf3cc1d9553085,mercedes-benz,sprinter,incomplete,standard roof
3gnal2ek7fs503602,chevrolet,captiva sport,suv,
jn1az34dx4t163559,nissan,350z,coupe,
1fmyu931x4ka23971,ford,escape,suv,
2fmza5148xbb47299,ford,windstar,minivan,
1ftrx14w67fa52375,ford,f-150,pickup,
4a32b2ff7ce017831,mitsubishi,galant,sedan,
1b3el46t35n701570,dodge,stratus,sedan,sxt
salmf1e46ca360169,land rover,range rover,suv,hse lux
1fmfk17597la46409,ford,expedition max,suv,
wbaka8c58cds99873,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
3gnda23p47s532381,chevrolet,hhr,suv,lt
1ftfw1ev1aka76514,ford,f-150,pickup,
2g1wu583989222640,chevrolet,impala,sedan,
1b4gp54l7vb282710,dodge,caravan,minivan,le/es
1fdne1bw1bda64733,ford,e-150,van,
1j4fj28s8wl188888,jeep,cherokee,suv,se
3gnda13d56s511795,chevrolet,hhr,suv,1/2 ton
2d4fv47v56h235134,dodge,magnum,suv,base/sxt
1gndm19w5vb154600,chevrolet,astro van,van,1500 (1/2 ton)
2g1wu583989207412,chevrolet,impala,sedan,
salsh23406a964282,land rover,range rover sport,suv,supercharged
4a32b2ff9ce024876,mitsubishi,galant,sedan,
jtjbt20x040060727,lexus,gx,suv,470
jm1fe173940112982,mazda,rx-8,coupe,
4a32b2ff7ce022382,mitsubishi,galant,sedan,
2d8hn44h58r629901,dodge,caravan,minivan,se
1gyee637750169839,cadillac,srx,suv,
1b4gp44g1xb834735,dodge,caravan,minivan,se/sport
jm1fe17nx40103323,mazda,rx-8,coupe,
jf1sg63623h768078,subaru,forester,suv,2.5x
5tbbv58117s467304,toyota,tundra,pickup,limited
1fmzu73k35ub61892,ford,explorer,suv,
1ftrx17l7xkb11765,ford,f-150,pickup,
4a32b2ff3ce017292,mitsubishi,galant,sedan,
2c4gm48l85r344780,chrysler,pacifica,suv,base
2d8fv48v35h182042,dodge,magnum,suv,base/sxt
1fmfu18l5vla03674,ford,expedition,suv,
2hkyf18644h577042,honda,pilot,suv,ex-l( with res)
2hjyk16556h570971,honda,ridgeline,pickup,
1j4fa39s06p757410,jeep,wrangler,suv,x
1b3ej46x9xn571189,dodge,stratus,sedan,base
5tfbv54117x009074,toyota,tundra,pickup,sr5
1gyee63a260164934,cadillac,srx,suv,
1c4njrab1ed804492,jeep,patriot,suv,sport
jtjbt20x450079895,lexus,gx,suv,470
1fmzu73k95ub09067,ford,explorer,suv,
salme15426a231966,land rover,range rover,suv,hse spec 1
1b4hs28z6wf123851,dodge,durango,suv,base
1ftrx17l8wnb64035,ford,f-150,pickup,
4a32b2ff5be022282,mitsubishi,galant,sedan,
1gbdv13117d120779,chevrolet,uplander,cargo van,ewb
1fmru17l5xlc25021,ford,expedition,suv,
1g1yy24u655105259,chevrolet,corvette,coupe,
2d4fv47v96h456218,dodge,magnum,suv,base/sxt
1ftcr14x6tpa79413,ford,ranger,pickup,
2fahp71vx8x142764,ford,crown victoria,sedan,
jn1az34e35m655015,nissan,350z,coupe,
1d4gp243x3b285389,dodge,caravan,van,
1j4fy19s9xp457611,jeep,wrangler,suv,sport/tj
2c4rdgdg8er385221,dodge,grand caravan,minivan,crew
1b4gp25392b597890,dodge,caravan,minivan,se
1ftzr15x5xta68795,ford,ranger,pickup,
1g11x5sl9fu105148,chevrolet,impala,sedan,
wdbrf52h27f913855,mercedes-benz,c-class,sedan,
1gyee637380205630,cadillac,srx,suv,
1g1zb5e05af232639,chevrolet,malibu,sedan,
salmf1e40ca391742,land rover,range rover,suv,hse lux
wba4a5c55fg051672,bmw,428i,sedan,gran coupe
2a8gf78416r604631,chrysler,pacifica,suv,limited
jtjht00w664006186,lexus,lx,suv,470
1b4gp44g8wb533801,dodge,caravan,minivan,se/sport
wddfh34x17j230720,mercedes-benz,unknown,unknown,
1ftrx27l9xka34368,ford,f-250,pickup,
1g1nd52j3x6224599,chevrolet,malibu,sedan,
2c4rdgdg2er229546,dodge,grand caravan,minivan,crew
salae25427a418733,land rover,lr3,suv,v6/v8 se
1fdss3bl3bda64794,ford,e-350,van,
2hkrl1864xh515268,honda,odyssey,minivan,ex
2g1ws551569329027,chevrolet,impala,sedan,
1ftrx14w77fa43393,ford,f-150,pickup,
4t3zf13c2wu088796,toyota,sienna,minivan,le/xle
4t3zf13c4xu156064,toyota,sienna,minivan,le/xle
1gb3g2baxa1140132,chevrolet,express,incomplete,cutaway
salag25425a339232,land rover,lr3,suv,hse7
jf1sg67635h744336,subaru,forester,suv,ll bean
1ftrx14w97kc44638,ford,f-150,pickup,
5fnyf184x5b029724,honda,pilot,suv,
2c4gm68475r258395,chrysler,pacifica,suv,touring
1fdns24l58da70495,ford,e-250,cargo van,extended van
2lnbl8evxbx751979,lincoln,town car,sedan,
wdbrf52h37f929353,mercedes-benz,c-class,sedan,
jtjbt20x170147248,lexus,gx,suv,470
1fmeu17l8ylc41231,ford,expedition,suv,
js3te1d88a4110004,suzuki,grand vitara,suv,v6 xsport (3.2l jlx)
1g6dc67a250130687,cadillac,sts,sedan,
5tfrv54107x015513,toyota,tundra,pickup,sr5
5tbbt54177s452933,toyota,tundra,pickup,sr5
1gyee63a450127253,cadillac,srx,suv,
2hhfd56726h203926,acura,unknown,unknown,
4a32b2ff2ce019714,mitsubishi,galant,sedan,
jm3er293570117434,mazda,cx-7,suv,
jm1cr293x70150381,mazda,mazda5,wagon,
2gcek19r5w1281071,chevrolet,gmt-400,pickup,
1g6dc67a150210711,cadillac,sts,sedan,
2a4gm68456r871675,chrysler,pacifica,suv,touring
jm1cr29lx70140580,mazda,mazda5,wagon,
jn1az34dx6m331343,nissan,350z,coupe,
1gyee637050191665,cadillac,srx,suv,
1j4gw58n2yc159293,jeep,grand cherokee,suv,limited
3gnda23d56s676414,chevrolet,hhr,suv,1/2 ton
2hkyf184x6h519924,honda,pilot,suv,ex
2fahp71w95x146941,ford,crown victoria,sedan,
2d4fv48v65h681578,dodge,magnum,suv,base/sxt
2c8gf68455r276015,chrysler,pacifica,suv,touring
2b3aa4ct2ah240468,dodge,charger,sedan,base
1fmru17l4ylb72331,ford,expedition,suv,
jtjbt20x440062271,lexus,gx,suv,470
wbahl83528dt12080,bmw,750i,sedan,
1ftrx14w45fa03530,ford,f-150,pickup,
1fmfu18l3vla15063,ford,expedition,suv,
1j4fa69s26p703575,jeep,wrangler,suv,"rubicon (u.s.) / ""tj"" rubicon (canada)"
4m2xv11t8xdj28448,mercury,villager,minivan,
2hkyf18766h500331,honda,pilot,suv,ex-l( with navi)
2mefm75v77x643273,mercury,grand marquis,sedan,
2c4gm68495r434511,chrysler,pacifica,suv,touring
2t1kr32e67c648757,toyota,corolla matrix,wagon,
1fdww3br4aea95877,ford,f-350,pickup,
1j4fa29106p729656,jeep,wrangler,suv,se
1ftrx18l3ynb72822,ford,f-150,pickup,
1j4fa49s3yp770631,jeep,wrangler,suv,sport
1c4njdab1ed804785,jeep,compass,suv,sport
1hgem215451058619,honda,civic,coupe,
1j4fa59s2yp764177,jeep,wrangler,suv,sahara
2c8gf78445r572388,chrysler,pacifica,suv,limited
2c4gf68495r515356,chrysler,pacifica,suv,touring
wbakb8c51cc962798,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1ftlr1fe0bpa98565,ford,ranger,pickup,
wdbrf52h67a938593,mercedes-benz,c-class,sedan,
5gzlrted1aj195424,saturn,outlook,suv,1xe
wp0ab29957s731954,porsche,911,coupe,"s (2wd), 4s (4wd)"
wdbrf52h97a946607,mercedes-benz,c-class,sedan,
4t3zf13c8yu178263,toyota,sienna,minivan,le/xle
km8sb13d53u455717,hyundai,santa fe,suv,
jtjbt20x130016928,lexus,gx,suv,470
2c8gm68494r290522,chrysler,pacifica,suv,touring
salmf15416a233639,land rover,range rover,suv,hse / supercharged spec 2
wvwad63b45p059950,volkswagen,passat,sedan,
1fdee14n2rhb27944,ford,e-150,cargo van,regular van
1g2al55fx77315500,pontiac,g5,sedan,
2g1fp22k3v2137898,chevrolet,camaro,coupe,
2hkyf18756h512390,honda,pilot,suv,ex-l( with navi)
1fmfk15537la82213,ford,expedition max,suv,
1j4fa64s56p730230,jeep,wrangler,suv,"rubicon (u.s.) / ""tj"" rubicon (canada)"
2lnbl8ev8bx754699,lincoln,town car,sedan,
1j4fa49s4yp778673,jeep,wrangler,suv,sport
2fmza5246yba07249,ford,windstar,minivan,
1fdne3bl9cdb16211,ford,e-350,van,
wdbrf61jx4a615847,mercedes-benz,c-class,sedan,
1g6dc67a670145695,cadillac,sts,sedan,v8
2a4gm684x6r614799,chrysler,pacifica,suv,touring
2fmda5347yba24585,ford,windstar,minivan,
salmf13477a259618,land rover,range rover,suv,hse / supercharged spec 2
1ftns2el7ada41363,ford,e-250,cargo van,
3gnal3ek4fs522498,chevrolet,captiva sport,suv,
2hkyf186x4h507822,honda,pilot,suv,ex-l( with res)
4a4jn2as9be036155,mitsubishi,endeavor,suv,
1fmzu73k85ua99132,ford,explorer,suv,
wbaka8c5xcdx01182,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
1fdwe35l21ha57069,ford,e-350,incomplete,super duty base cutaway
2a4rr4de4ar458006,chrysler,town and country,minivan,lx
2d4fv48v35h526602,dodge,magnum,suv,base/sxt
saltl19484a852637,land rover,discovery,suv,duragrain 5 seat
1b3el36xx4n396712,dodge,stratus,sedan,se
1gndm19w7vb203697,chevrolet,astro van,van,1500 (1/2 ton)
1ftrx08l2xkb01105,ford,f-150,pickup,
1ftfw1evxake09003,ford,f-150,pickup,
2g1wc583589164366,chevrolet,impala,sedan,
1ftnx21f1yee39951,ford,f-250,pickup,
1ftfx1ev6ake61130,ford,f-150,pickup,
jm1cr293470147704,mazda,mazda5,wagon,
1b3bd4fg2bn544127,dodge,avenger,sedan,express
3gnda23d07s540760,chevrolet,hhr,suv,lt
1ftfw1ev7aka76551,ford,f-150,pickup,
jh4kb16536c005890,acura,rl,sedan,
salsh23446a919071,land rover,range rover sport,suv,supercharged
1gbhc24u15e306643,chevrolet,silverado,incomplete,
1gnfk16t83j248496,chevrolet,suburban,suv,1/2 ton
1b4gp44g4xb583497,dodge,caravan,minivan,se/sport
jf1sg63615h745586,subaru,forester,suv,2.5x
4a32b2ff6be007757,mitsubishi,galant,sedan,
wbakc6c51cc396515,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
wbaka8c55cc446978,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
2hjyk16586h558457,honda,ridgeline,pickup,
2c4rdgdg8er280579,dodge,grand caravan,minivan,crew
1j4gw58n8yc207783,jeep,grand cherokee,suv,limited
1d8hb48nx8f142421,dodge,durango,suv,slt
wbakb8c50cc964154,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1fmzu62k62ud18354,ford,explorer,suv,
2c4gm68495r256258,chrysler,pacifica,suv,touring
2d8hn44h58r127373,dodge,caravan,minivan,se
4a32b2ff8ce016218,mitsubishi,galant,sedan,
3gnal3ek1fs502032,chevrolet,captiva sport,suv,
wbakb8c52cc964219,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
2hkyf18715h556224,honda,pilot,suv,with navi
1ftne1ew4ada63588,ford,e-150,cargo van,
5y2sr67039z435658,pontiac,vibe,hatchback,
1ftnw21s3yeb80265,ford,f-250,pickup,
2g1wf55k1y9352501,chevrolet,impala,sedan,
2gtek19t9y1134427,gmc,sierra,pickup,1500 (1/2 ton)
1fdse35p46hb24084,ford,e-350,incomplete,srw/drw
5fnyf18605b013078,honda,pilot,suv,with res
wbakb8c56cc448056,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
2a4gm68496r864082,chrysler,pacifica,suv,touring
2gtek133971704482,gmc,sierra,pickup,1500 (1/2 ton)
1c4njrab8ed627407,jeep,patriot,suv,sport
3b7hf13z1vm569994,dodge,ram,pickup,1500
1c4gp54l1vb344346,chrysler,town and country,minivan,base/lx/sx
4a32b2ff8ce022195,mitsubishi,galant,sedan,
4a32b2ff6ae010009,mitsubishi,galant,sedan,
2c4rdgdg5er401181,dodge,grand caravan,minivan,crew
1fmzu73k42zc98189,ford,explorer,suv,
jtjbt20x540059699,lexus,gx,suv,470
1g1yy22g7y5130740,chevrolet,corvette,coupe,
km8sc83d11u021328,hyundai,santa fe,suv,
2hkyf18515h538921,honda,pilot,suv,
1gyee63a050105685,cadillac,srx,suv,
3gnda23d57s504272,chevrolet,hhr,suv,lt
jn1az34d86m311074,nissan,350z,coupe,
4t3zf13cxyu235286,toyota,sienna,minivan,le/xle
wbakc8c59cc436383,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
wbakc8c50cc435901,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
2hkrl1851yh586369,honda,odyssey,minivan,lx
4a32b2ff2ce011399,mitsubishi,galant,sedan,
1g1nd52m5w6256009,chevrolet,malibu,sedan,
1ftfw1ev6akb46119,ford,f-150,pickup,
1gmdv03w88d112970,pontiac,montana,minivan,
wbakb8c55bcy65831,bmw,750li,sedan,
2c4rdgdgxer401192,dodge,grand caravan,minivan,crew
trusc28n451008265,audi,tt,coupe,
4t3zf13c0xu138287,toyota,sienna,minivan,le/xle
2g1fp22k7v2126533,chevrolet,camaro,coupe,
wbakb8c53cdw84755,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1gccs19w6w8164013,chevrolet,s-10 pickup,pickup,
jm1fe173150146769,mazda,rx-8,coupe,
1fmzu73k15ub47943,ford,explorer,suv,
2j4fy19e4lj510779,jeep,wrangler,suv,s
salsf25426a904538,land rover,range rover sport,suv,hse
jm3er293970145057,mazda,cx-7,suv,
2hgfa16489h106116,honda,unknown,unknown,
jtjbt20x430005180,lexus,gx,suv,470
waufgafc8cn045706,audi,a6,sedan,
2a4gm684x6r923589,chrysler,pacifica,suv,touring
saltw19424a857551,land rover,discovery,suv,leather 7 seat
1fdwe35l16hb12067,ford,e-350,incomplete,srw/drw
2hkrl185xyh512707,honda,odyssey,minivan,lx
2a4rr4de2ar267488,chrysler,town and country,minivan,lx
1j4fy29p5wp780585,jeep,wrangler,suv,se/tj
wba3b9g55dnr89643,bmw,335i,sedan,xdrive sedan sa
2fmda534xxbb60725,ford,windstar,minivan,
4a4jn2as5be035679,mitsubishi,endeavor,suv,
1fdne1bw6bdb15269,ford,e-150,van,
jtjbt20x670135693,lexus,gx,suv,470
1fdne1bw7bda64803,ford,e-150,van,
jm1cr293460104804,mazda,mazda5,wagon,
2hkrl1869yh582627,honda,odyssey,minivan,ex
2c4gp44313r250430,chrysler,town and country,minivan,lx
salme15457a245782,land rover,range rover,suv,hse spec 1
1falp62w9sh107765,ford,thunderbird,sedan,
1c4njcab9ed608040,jeep,compass,suv,sport
salmf15496a218600,land rover,range rover,suv,hse / supercharged spec 2
2a4rr4de0ar150654,chrysler,town and country,minivan,lx
1gndm19w3yb103147,chevrolet,astro van,van,1/2 ton
2c4gf48495r272586,chrysler,pacifica,suv,base
jtjbt20x570128444,lexus,gx,suv,470
1gndx03e2vd288888,chevrolet,venture,minivan,
jf1sf6352yh729198,subaru,forester,suv,l
1ftyr14v1yta98485,ford,ranger,pickup,
salsk25447a104997,land rover,range rover sport,suv,hse spec 3
1fdne3blxcdb26259,ford,e-350,van,
1fmdu84p3yzb88768,ford,explorer,suv,
wbakb8c53cdx20329,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
1ftne1ew3ada48063,ford,e-150,cargo van,
1fmzu72k45ua90168,ford,explorer,suv,
3gnal4ekxfs506764,chevrolet,captiva sport,suv,
2gcec19r3t1236378,chevrolet,gmt-400,pickup,
4a32b2ff2ce017672,mitsubishi,galant,sedan,
salag25436a372564,land rover,lr3,suv,v8 hse
2c4gm68464r622529,chrysler,pacifica,suv,touring
1g6dc67a750156301,cadillac,sts,sedan,
2fahp71v89x134809,ford,crown victoria,sedan,
2d4rn4dx2ar487364,dodge,grand caravan,minivan,se
salsh234x6a961003,land rover,range rover sport,suv,supercharged
1ftzr15x2xta30859,ford,ranger,pickup,
1j4fy29p0vp413205,jeep,wrangler,suv,se/tj
wbakc8c58cc436634,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
1g1yy22g835132084,chevrolet,corvette,sedan,
jn1az34e33t004616,nissan,350z,coupe,
1g1pa5sh1b7194357,chevrolet,cruze,sedan,
1fmdu73k15ua04565,ford,explorer,suv,
1ftne2ew8ada47920,ford,e-250,cargo van,
jm1cr193x70148611,mazda,mazda5,wagon,
2b4gp2535yr899414,dodge,caravan,minivan,base
wbaka8c52cds99822,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
1fmcu96h66kd11900,ford,escape,suv,
1fdne1bw9bdb07747,ford,e-150,van,
wbakc6c52cc396801,bmw,750xi,sedan,750xi / alpina b7 xdrive swb (500 hp)
knade123996399661,kia,rio,unknown,
1mefm502x5a614972,mercury,sable,sedan,
2a4gm68466r853427,chrysler,pacifica,suv,touring
4f2yz92z56km25252,mazda,tribute,suv,
waufgafc2cn039402,audi,a6,sedan,
2fahp71w75x146999,ford,crown victoria,sedan,
2fahp71w97x134887,ford,crown victoria,sedan,
1b3ej56h3vn629910,dodge,stratus,sedan,es
jtjbt20x770129305,lexus,gx,suv,470
wau3gafc1cn047770,audi,a7,sedan,
2g1wv58n281366639,chevrolet,impala,sedan,
5tbru54127s451278,toyota,tundra,pickup,sr5
1gagg25k781198400,chevrolet,express,van,
2p4fp25b1xr309628,plymouth,voyager,minivan,base
2c8gf68425r662407,chrysler,pacifica,suv,touring
1c4njcab6ed657826,jeep,compass,suv,sport
3gnal3ek8fs520107,chevrolet,captiva sport,suv,
wvwad63b65e078558,volkswagen,passat,sedan,
4a32b2ff3ce024730,mitsubishi,galant,sedan,
salae25417a422496,land rover,lr3,suv,v6/v8 se
2gtec13zx61295828,gmc,sierra,pickup,1500 (1/2 ton)
2hkyf18454h544811,honda,pilot,suv,ex
2hkyf18555h530613,honda,pilot,suv,
1fmfu18l5vla20815,ford,expedition,suv,
wdbrf52h47f849799,mercedes-benz,c-class,sedan,
2fmza5144xba59205,ford,windstar,minivan,
1g1ze5e04af195638,chevrolet,malibu,sedan,
jtjbt20x040037724,lexus,gx,suv,470
1gkec16t83j147951,gmc,yukon xl,suv,1500 (1/2 ton)
1b4gp44r8vb237077,dodge,caravan,minivan,se/sport
1fdss3bl4cda35001,ford,e-350,van,
2a4gm68416r763182,chrysler,pacifica,suv,touring
1c4njdab0ed820136,jeep,compass,suv,sport
wvwad63b65p031535,volkswagen,passat,sedan,
jtjbt20xx70135938,lexus,gx,suv,470
1j4fa29p8yp751752,jeep,wrangler,suv,se
2a4gm68456r862796,chrysler,pacifica,suv,touring
1gbdv13157d122213,chevrolet,uplander,cargo van,ewb
1fmzu63k35ua13641,ford,explorer,suv,
2hkyf18456h558484,honda,pilot,suv,ex
wbakb8c58cc448107,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
jm3er293970162263,mazda,cx-7,suv,
4a4jn2as4be034264,mitsubishi,endeavor,suv,
wba3b9g54dnp39763,bmw,335i,sedan,xdrive sedan sa
2hkyf185x4h609810,honda,pilot,suv,ex-l
1b4hs28y4wf213975,dodge,durango,suv,base
2c4rvabg2er134451,volkswagen,routan,minivan,se
1lnhm82v86y642633,lincoln,town car,sedan,
wbakb8c55cdw84711,bmw,750li,sedan,750li / alpina b7 lwb (500 hp)
4a32b2ff9be030322,mitsubishi,galant,sedan,
2gtek13z261356222,gmc,sierra,pickup,1500 (1/2 ton)
1c4njdab5ed804787,jeep,compass,suv,sport
2a4gm68486r672488,chrysler,pacifica,suv,touring
1j4gw48n9yc225042,jeep,grand cherokee,suv,laredo
1fdss31l76ha19731,ford,e-350,van,
1ftne24l6xhb30335,ford,e-250,cargo van,
2g1wc583889211440,chevrolet,impala,sedan,
4a32b2ff3ce020547,mitsubishi,galant,sedan,
1fdnf20l12ea73177,ford,f-250,pickup,
2fafp71w22x134410,ford,crown victoria,sedan,
salmf13446a206860,land rover,range rover,suv,hse / supercharged spec 2
salme15406a226006,land rover,range rover,suv,hse spec 1
1ftrx18l3yna52809,ford,f-150,pickup,
1falp5742sg256929,ford,taurus,wagon,
wbakc8c56cc435837,bmw,750lxi,sedan,750lxi / alpina b7 xdrive lwb (500 hp)
jtjbt20x840063147,lexus,gx,suv,470
salsf25416a977240,land rover,range rover sport,suv,hse
2c8gm68454r572639,chrysler,pacifica,suv,touring
1c3cc4fd3an179858,chrysler,sebring,sedan,lx
salsf25466a926414,land rover,range rover sport,suv,hse
1ftzr15xxxpb15148,ford,ranger,pickup,
2a4gm68416r736306,chrysler,pacifica,suv,touring
2c4rdgdg1er385111,dodge,grand caravan,minivan,crew
1gbjc34k18e136875,chevrolet,silverado,incomplete,ltz
1fmzu62k42zc99399,ford,explorer,suv,
jh4kb165x5c013256,acura,rl,sedan,
2c4rdgdg8er385218,dodge,grand caravan,minivan,crew
1fdne1bwxbda64746,ford,e-150,van,
jn1az34d35m606906,nissan,350z,coupe,
1g6dc67a850145386,cadillac,sts,sedan,
jm3er293270119741,mazda,cx-7,suv,
salmf15407a239577,land rover,range rover,suv,hse / supercharged spec 2
3gnda13d96s574155,chevrolet,hhr,suv,1/2 ton
1g3nl52e61c208385,oldsmobile,alero,sedan,
2hkrl1869yh535534,honda,odyssey,minivan,ex
2c4gp34382r691562,chrysler,town and country,minivan,el
3vwdl7aj8bm051848,volkswagen,jetta,sedan,
2gcec13z261340034,chevrolet,silverado,pickup,
1fmzu63k95ua83953,ford,explorer,suv,
wbaka8c52cdx01435,bmw,750i,sedan,750i / alpina b7 swb (500 hp)
1gyde63a140110114,cadillac,srx,suv,
salmf13436a224332,land rover,range rover,suv,hse / supercharged spec 2
wdbjf25f0wa470655,mercedes-benz,e-class,sedan,
2hjyk16516h528104,honda,ridgeline,pickup,
2g1wu583881238200,chevrolet,impala,sedan,
1ftre14w0xha24050,ford,e-150,cargo van,
jtjbt20x040055253,lexus,gx,suv,470
jm1cr293070141480,mazda,mazda5,wagon,
